Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.6279,0.1684981684981685,0.6858846918489065,0.27053518917859243
Decision Tree,0.8367,0.1794478527607362,0.17445328031809146,0.17691532258064516
Random Forest,0.89945,0.5070422535211268,0.017892644135188866,0.03456553048487758
